INSTALLED,UPGRADED,Comfort_Level
2001,2021,Low Comfort
2001,2009,High Comfort
2001,2011,High Comfort
2001,2011,High Comfort
2001,2012,High Comfort
2001,2012,High Comfort
2001,2012,High Comfort
2001,2021,Low Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,Low Comfort
2001,2015,Low Comfort
2001,2015,Low Comfort
2001,2015,Low Comfort
2001,2015,Low Comfort
2001,2015,Moderate Comfort
2001,2015,Low Comfort
2001,2015,Low Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,NA,High Comfort
2001,2017,High Comfort
2001,2014,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,NA,Low Comfort
2001,2016,Moderate Comfort
2001,2016,Moderate Comfort
2001,2016,Low Comfort
2001,2016,Moderate Comfort
2001,2016,Moderate Comfort
2001,NA,Moderate Comfort
2001,2017,High Comfort
2001,NA,Low Comfort
2001,NA,Low Comfort
2001,2017,Low Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,Low Comfort
2001,2016,Moderate Comfort
2001,NA,Moderate Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,2015,High Comfort
2001,2015,Low Comfort
2001,2015,Low Comfort
2001,2015,Low Comfort
2001,2015,High Comfort
2001,2017,High Comfort
2001,2015,High Comfort
2001,2015,Low Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2015,High Comfort
2001,2020,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
